DATE,GDP
01/01/1995,11567.3
01/04/1995,12929.9
01/07/1995,12993.9
01/10/1995,14145.1
01/01/1996,14305.3
01/04/1996,14145
01/07/1996,13463.1
01/10/1996,13179.9
01/01/1997,11844.5
01/04/1997,11719.9
01/07/1997,11981.6
01/10/1997,11579.3
01/01/1998,12933.6
01/04/1998,12088.6
01/07/1998,12182.3
01/10/1998,12001.6
01/01/1999,11722.6
01/04/1999,11412.9
01/07/1999,11317.1
01/10/1999,10701.5
01/01/2000,11782.1
01/04/2000,11891.6
01/07/2000,11991.4
01/10/2000,12100.1
01/01/2001,12195.8
01/04/2001,12314.8
01/07/2001,12476.2
01/10/2001,12642.2
01/01/2002,12840.5
01/04/2002,13039.5
01/07/2002,13232.8
01/10/2002,13369
01/01/2003,13556.8
01/04/2003,13692
01/07/2003,13855.2
01/10/2003,14131.8
01/01/2004,14308.6
01/04/2004,14588.4
01/07/2004,14891.2
01/10/2004,15100.8
01/01/2005,15415.1
01/04/2005,15631.7
01/07/2005,15837.1
01/10/2005,16098.5
01/01/2006,16350.2
01/04/2006,16634.4
01/07/2006,16983.7
01/10/2006,17262.7
01/01/2007,17511.6
01/04/2007,17850.2
01/07/2007,18080.5
01/10/2007,18465.5
01/01/2008,18766.9
01/04/2008,18989.9
01/07/2008,19206.3
01/10/2008,19304.8
01/01/2009,18452.9
01/04/2009,18469.3
01/07/2009,18629.1
01/10/2009,18055.9
01/01/2010,18314.9
01/04/2010,18616.1
01/07/2010,18758.9
01/10/2010,18943
01/01/2011,18955.6
01/04/2011,19138.4
01/07/2011,19157.5
01/10/2011,19140.2
01/01/2012,19265.7
01/04/2012,19217.6
01/07/2012,19172.6
01/10/2012,19113.8
01/01/2013,19060.4
01/04/2013,19024.6
01/07/2013,19100.3
01/10/2013,19129.3
01/01/2014,19122.7
01/04/2014,19243.8
01/07/2014,19321.2
01/10/2014,19494.5
01/01/2015,19691.4
01/04/2015,19834
01/07/2015,20049.8
01/10/2015,20179.4
01/01/2016,20337.2
01/04/2016,20491.1
01/07/2016,20592.2
01/10/2016,20786.1
01/01/2017,20910.7
01/04/2017,21055.4
01/07/2017,21199.3
01/10/2017,21330.9
01/01/2018,21429.5
01/04/2018,21615.8
01/07/2018,21837
01/10/2018,22029.6
01/01/2019,22305.4
01/04/2019,22555.8
01/07/2019,22599
01/10/2019,22863.6
01/01/2020,21995.8
01/04/2020,20930.1
01/07/2020,21684.7
01/10/2020,22079.5
01/01/2021,22686.7
01/04/2021,22979.1
01/07/2021,23416.8
01/10/2021,23767.3
01/01/2022,23875.6
01/04/2022,24021.8
01/07/2022,24141.4
01/10/2022,24259.6
01/01/2023,24345.8
